Title,Body,Labels,Milestone,Assignee,Priority,Story Points,Dependencies,Component,Status
"[T001] Create repository structure","Create repository structure per plan.md microservices layout in root directory","001-adaptive-platform","Phase 1: Core Platform","","P0",2,"","Infrastructure","Done"
"[T002] Initialize Next.js 14 frontend","Initialize Next.js 14 frontend with TypeScript in frontend/","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T001","Frontend","Done"
"[T003] Initialize Rust workspace for kre-engine","Initialize Rust workspace for kre-engine in services/kre-engine/","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T001","KRE Engine","Done"
"[T004] Initialize Go module for genui-orchestrator","Initialize Go module for genui-orchestrator in services/genui-orchestrator/","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T001","GenUI Orchestrator","Done"
"[T005] Initialize Go module for user-context","Initialize Go module for user-context in services/user-context/","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T001","User Context","Done"
"[T006] Initialize Python FastAPI for ai-sommelier","Initialize Python FastAPI project for ai-sommelier in services/ai-sommelier/","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T001","AI Sommelier","Done"
"[T007] Initialize Python/Rust hybrid for pcm-classifier","Initialize Python/Rust hybrid for pcm-classifier in services/pcm-classifier/","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T001","PCM Classifier","Done"
"[T008] Initialize Rust project for streaming-adapter","Initialize Rust project for streaming-adapter in services/streaming-adapter/","001-adaptive-platform,parallel","Phase 1: Core Platform","","P1",3,"T001","Infrastructure","To Do"
"[T009] Create docker-compose.yml","Create docker-compose.yml with PostgreSQL, Redis, and service definitions","001-adaptive-platform","Phase 1: Core Platform","","P0",5,"T001-T008","Infrastructure","To Do"
"[T010] Setup shared contracts and protos","Setup shared contracts and protos directories with build scripts","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T001","Infrastructure","To Do"
"[T010a] Setup Pinecone vector database","Setup Pinecone vector database for semantic search embeddings","001-adaptive-platform,parallel","Phase 1: Core Platform","","P1",2,"T010","Infrastructure","To Do"
"[T011] Create PostgreSQL schema migrations","Create PostgreSQL schema migrations for all 11 entities in migrations/","001-adaptive-platform","Phase 1: Core Platform","","P0",5,"T009","Infrastructure","To Do"
"[T012] Create UserProfile migration","Create migration for UserProfile table with PCM stages","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",2,"T011","User Context","To Do"
"[T013] Create Context and UI migrations","Create migration for ContextSnapshot and UIConfiguration tables","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",2,"T011","User Context","To Do"
"[T014] Create Rule migrations","Create migration for AdaptationRule and RuleSetVersion tables","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",2,"T011","KRE Engine","To Do"
"[T015] Create Content migrations","Create migration for ContentItem and DiscoveryQuery tables","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",2,"T011","AI Sommelier","To Do"
"[T016] GraphQL test for generateUI","GraphQL schema test for generateUI query in frontend/tests/contract/test_genui_query.ts","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T002","Frontend","To Do"
"[T017] GraphQL test for searchContent","GraphQL schema test for searchContent query in frontend/tests/contract/test_search_query.ts","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T002","Frontend","To Do"
"[T018] GraphQL test for rerankComponents","GraphQL schema test for rerankComponents mutation in frontend/tests/contract/test_rerank_mutation.ts","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T002","Frontend","To Do"
"[T019] OpenAPI test for /ui/generate","OpenAPI contract test for POST /ui/generate in services/genui-orchestrator/tests/contract_test.go","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T004","GenUI Orchestrator","To Do"
"[T020] OpenAPI test for /ui/rerank","OpenAPI contract test for POST /ui/rerank in services/genui-orchestrator/tests/rerank_test.go","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T004","GenUI Orchestrator","To Do"
"[T021] OpenAPI test for /ui/morph","OpenAPI contract test for POST /ui/morph in services/genui-orchestrator/tests/morph_test.go","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T004","GenUI Orchestrator","To Do"
"[T022] OpenAPI test for /context/capture","OpenAPI contract test for POST /context/capture in services/user-context/tests/context_test.go","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T005","User Context","To Do"
"[T023] OpenAPI test for /rules/evaluate","OpenAPI contract test for POST /rules/evaluate in services/kre-engine/tests/rules_test.rs","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T003","KRE Engine","To Do"
"[T024] OpenAPI test for /discovery/search","OpenAPI contract test for POST /discovery/search in services/ai-sommelier/tests/test_search.py","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",3,"T006","AI Sommelier","To Do"
"[T025] gRPC contract tests","gRPC contract test for inter-service communication in shared/protos/tests/","001-adaptive-platform,parallel","Phase 1: Core Platform","","P0",5,"T010","Infrastructure","To Do"
"[T105] Initialize experiment-service","Initialize experiment-service Go module in services/experiment-service/","002-ab-testing,parallel","Phase 2: A/B Testing","","P0",3,"","Experiment Service","To Do"
"[T106] Create experiment schema","Create PostgreSQL schema for experiments in migrations/experiment_tables.sql","002-ab-testing","Phase 2: A/B Testing","","P0",3,"T105","Experiment Service","To Do"
"[T107] Experiment data models","Experiment data models in services/experiment-service/internal/models/experiment.go","002-ab-testing,parallel","Phase 2: A/B Testing","","P0",3,"T106","Experiment Service","To Do"
"[T108] Assignment cache with Redis","Assignment cache with Redis in services/experiment-service/internal/cache/assignment.go","002-ab-testing,parallel","Phase 2: A/B Testing","","P0",3,"T106","Experiment Service","To Do"
"[T123] Factorial design generator","Factorial design generator in services/experiment-service/internal/design/factorial.go","003-multivariate,parallel","Phase 3: Advanced Experimentation","","P1",5,"T105","Experiment Service","To Do"
"[T131] Initialize bandit-service","Initialize bandit-service Python module in services/bandit-service/","003-multivariate,parallel","Phase 3: Advanced Experimentation","","P1",3,"","Bandit Service","To Do"
"[T132] Epsilon-greedy algorithm","Epsilon-greedy algorithm in services/bandit-service/src/algorithms/epsilon_greedy.py","003-multivariate,parallel","Phase 3: Advanced Experimentation","","P1",5,"T131","Bandit Service","To Do"
